db,type,statistic,p.value,padj
encodeTFBS,RBFOX2,5999,2.1929038818875174e-47,1.1753964806917092e-44
knownGene_RNAs,protein_coding,5985,7.086201548297845e-47,3.7982040298876447e-44
RBP_ChIP,AGO1,5895,1.0927170058028253e-46,5.856963151103144e-44
RBP_ChIP,RBM14,5905,1.2059865264031235e-46,6.464087781520742e-44
RBP_eCLiP,SF3A3,5983,2.5453728216755634e-46,1.364319832418102e-43
Splice_Events,altPromoter,6204,1.16235100971994e-45,6.230201412098879e-43
RBP_ChIP,POLR2G,6206,2.297441639282881e-45,1.2314287186556243e-42
RBP_ChIP,RBFOX2,6243,3.2908120248834004e-45,1.7638752453375025e-42
encodeTFBS,RBM22,6396,3.845612598618554e-45,2.061248352859545e-42
RBP_ChIP,SRSF3,6271,4.314475861621867e-45,2.3125590618293208e-42
RBP_ChIP,RBM22,6315,6.606766616305102e-45,3.541226906339535e-42
encodeTFBS,ZNF263,6317,6.73890239074523e-45,3.6120516814394433e-42
RBP_ChIP,PCBP1,6344,8.743585224187384e-45,4.686561680164438e-42
encodeTFBS,MGA,6862,1.2214816118905548e-44,6.547141439733374e-42
RBP_eCLiP,SF3B4,6425,1.8716746499497794e-44,1.0032176123730818e-41
Transcript_Features,fiveUTR,6502,2.0602664006546865e-44,1.104302790750912e-41
encodeTFBS,PCBP1,7326,3.5879274988182786e-44,1.9231291393665973e-41
encodeTFBS,KDM5B,6534,5.432825618876567e-44,2.91199453171784e-41
encodeTFBS,JUND,7445,5.615491058016618e-44,3.0099032070969073e-41
Splice_Events,altFinish,6608,5.665533480675161e-44,3.036725945641886e-41
RBP_eCLiP,PABPC4,6605,1.0587897252844619e-43,5.675112927524716e-41
encodeTFBS,MYC,7337,1.4377814203767816e-43,7.706508413219549e-41
PolyA,polyA_site,6719,1.6289272896249488e-43,8.731050272389726e-41
encodeTFBS,MAX,7223,1.8386773819215535e-43,9.855310767099526e-41
encodeTFBS,GABPB1,6747,4.1256091448782025e-43,2.2113265016547166e-40
RBP_ChIP,U2AF1,6763,4.785958080016262e-43,2.5652735308887164e-40
CpG_Islands,CpG_Islands,7842,5.6596117554895025e-43,3.033551900942373e-40
Transcript_Features,TTS,6351,8.10857184080285e-43,4.346194506670328e-40
encodeTFBS,YY1,7386,8.230412436103518e-43,4.411501065751485e-40
encodeTFBS,MEF2B,6825,8.622135203023898e-43,4.621464468820809e-40
encodeTFBS,TAF15,7535,8.770855871453672e-43,4.701178747099168e-40
RBP_ChIP,SAFB,6827,8.7853964823847e-43,4.7089725145581994e-40
encodeTFBS,E2F6,6837,9.655079474756459e-43,5.175122598469462e-40
Encode_Histone,H3K4me2,6902,1.7800415772422013e-42,9.541022854018198e-40
RBP_ChIP,NONO,6903,1.796658162398258e-42,9.630087750454663e-40
RBP_eCLiP,TIAL1,6986,1.9860169941798188e-42,1.0645051088803829e-39
knownGene_RNAs,nonsense_mediated_decay,7003,2.3597645901813822e-42,1.2648338203372208e-39
encodeTFBS,NR2F1,6941,2.566991715189013e-42,1.375907559341311e-39
encodeTFBS,EBF1,6956,2.954569434722193e-42,1.5836492170110957e-39
encodeTFBS,L3MBTL2,7529,3.035979618000269e-42,1.6272850752481443e-39
encodeTFBS,POU2F2,7079,4.79513440718832e-42,2.5701920422529398e-39
encodeTFBS,SMAD5,7019,5.327090338792008e-42,2.8553204215925163e-39
encodeTFBS,RBM39,8135,7.653687489953455e-42,4.102376494615052e-39
PolyA,polyA_signal,7176,1.1806631719878534e-41,6.328354601854894e-39
Encode_Histone,H3K27ac,7179,1.213969689114568e-41,6.506877533654085e-39
RBP_eCLiP,ZNF622,7266,1.3981759261439634e-41,7.494222964131644e-39
RBP_ChIP,TARDBP,7134,1.5544966074696653e-41,8.332101816037406e-39
RBP_eCLiP,DDX24,7150,1.803930078448234e-41,9.669065220482535e-39
RBP_ChIP,RBM39,7155,1.885270344045285e-41,1.0105049044082727e-38
G4Qexp,G4Q_PDS_NaK_GSE63874,7066,2.4732765678158185e-41,1.3256762403492787e-38
Encode_CREs,prom,7267,2.738705739835069e-41,1.4679462765515972e-38
RBP_eCLiP,SUB1,7209,3.1058842026143353e-41,1.6647539326012839e-38
encodeTFBS,TAF7,7512,3.5605139252321056e-41,1.9084354639244085e-38
encodeTFBS,SMARCA4,7552,5.123938866195818e-41,2.7464312322809583e-38
RBP_ChIP,HNRNPLL,7273,5.629332911287051e-41,3.0173224404498595e-38
Transcript_Features,TSS,6711,6.183331818582787e-41,3.3142658547603743e-38
RBP_eCLiP,NONO,7304,7.489616985160907e-41,4.014434704046246e-38
encodeTFBS,NR2C1,7322,8.840815964990529e-41,4.738677357234924e-38
RBP_eCLiP,EIF3H,7422,1.0793522344902711e-40,5.785327976867853e-38
Encode_Histone,H3K9ac,7418,1.0970288778409434e-40,5.880074785227456e-38
encodeTFBS,TAF1,8222,1.1238872098878936e-40,6.024035444999109e-38
encodeTFBS,SMARCB1,7355,1.1974091075998327e-40,6.418112816735103e-38
encodeTFBS,RELB,7466,1.701521383312452e-40,9.120154614554743e-38
encodeTFBS,LEF1,8187,2.999634305714925e-40,1.6078039878631997e-37
encodeTFBS,EP400,7542,3.401774776921784e-40,1.8233512804300762e-37
encodeTFBS,REST,8534,4.745972196372586e-40,2.543841097255706e-37
G4Qpred,tl:6-12_nl:3-9_gn:2-4,7832,6.2037008328715476e-40,3.3251836464191496e-37
RBP_eCLiP,RBM5,7614,7.721069766552287e-40,4.138493394872026e-37
RBP_eCLiP,FMR1,7573.5,8.053650214559291e-40,4.31675651500378e-37
RBP_eCLiP,SFPQ,7578.5,8.428200992960307e-40,4.5175157322267245e-37
RBP_ChIP,XRCC5,7581,9.430590310451603e-40,5.0547964064020595e-37
encodeTFBS,WRNIP1,7600,1.1207294609087938e-39,6.007109910471135e-37
