rlregion,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RL57887,376.55007135997096,-0.3438511069403531,0.13135636718909385,-2.617696532710613,0.008852549407553912,0.01234830045201412
RL53474,210.20795035831307,0.38602811897041667,0.14751679318836836,2.6168418566250047,0.008874744747547524,0.012377502261172658
RL35595,69.85920867895406,-0.47254280148091954,0.18070876469053682,-2.614941241450837,0.008924280670236194,0.01244482195139441
RL23979,71.10302076590324,-0.46227518464271916,0.17681237503579195,-2.6144956457326094,0.008935929951751187,0.012459297476387427
RL57364,186.766691790428,-0.33901014130846036,0.12972706167726736,-2.6132569174490645,0.008968385615546434,0.01250277494955508
RL10158,78.26156302972579,-0.6373311859557439,0.24392169232014937,-2.6128516077989534,0.008979027884840469,0.01251583446829431
RL23990,300.03024988689685,-0.4166434822406611,0.15948263051597827,-2.612469338464532,0.00898907551430988,0.012528061531439543
RL32299,64.72080330842356,-0.3864223412959402,0.14808100939346625,-2.6095334093055573,0.00906657923239343,0.012634285236569247
RL35915,92.57273027406046,-0.41616583336912655,0.15952699177692428,-2.608748705993748,0.009087394900273363,0.012661495164682807
RL24142,170.65544958229566,0.47969145115364725,0.18439823131421443,2.6013885693743637,0.009284722280593329,0.012934596793222654
RL64402,60.55470934434261,-0.6673228739886694,0.2566158537802005,-2.600474071100269,0.009309505395295665,0.012967282692454387
RL57246,63.7547059612442,-0.33302648683708713,0.12807524759038666,-2.600240820163631,0.009315835989438671,0.012974260305813041
RL17071,271.6760707119913,0.45849845357189756,0.17635343272056794,2.5998839177595623,0.009325530006361566,0.012985919549414433
RL44258,85.04315948667775,0.43949955803779084,0.16908560775048773,2.5992724270556558,0.009342159954135542,0.013007232489665536
RL10992,110.00440343752628,-0.46348202069336775,0.17841021947514624,-2.5978445744691996,0.009381094538033513,0.013059590071376397
RL49776,59.78165536130237,-0.3243984066909274,0.12492582662972511,-2.5967281181370976,0.00941163876575651,0.013100254100599423
RL2635,150.31676019205204,0.43956382493579965,0.16943245159508516,2.5943307837289793,0.009477525438835366,0.013190093510397292
RL42625,61.6635805386289,-0.3879419618932964,0.14965842119816578,-2.592182643565473,0.009536912552620737,0.01327086315243526
RL19780,37.570756566881585,0.6712688260545838,0.2590579947607171,2.5911913148042838,0.009564430389511736,0.013307269258289211
RL11533,292.26978036280286,-0.4264636644678933,0.16464277794143578,-2.5902360844493795,0.009591013143215593,0.013342364225297793
RL55402,111.38183321064632,0.3437291701414879,0.13272982075454004,2.5896906074871695,0.00960622255181775,0.013361629668392395
RL37939,350.36240725958015,-0.4692022312650609,0.1812858782893823,-2.5881896355770446,0.009648184861361873,0.013418095926720521
RL6962,159.1374187971203,-0.5026421743385558,0.19423598807581186,-2.587791167424497,0.009659352152848582,0.01343172446063057
RL41859,48.987854901214476,-0.6563293579090125,0.25380746300007134,-2.585934038940486,0.009711551351820885,0.013502397603692637
RL46440,38.11870967561053,0.5608132773530339,0.2168872543892631,2.585736441416249,0.009717120092664558,0.013508227535385893
RL46206,211.1918334461225,-0.45199150290316675,0.17482232033963988,-2.5854336106799773,0.009725660064662543,0.013518185680818992
RL54436,317.44095938510003,0.3151362645541045,0.12196909199651931,2.5837387111408328,0.009773580654607325,0.013582870369125945
RL58694,100.66467547079709,0.4915649367477711,0.19037394072092598,2.582102019248363,0.009820055110165987,0.01364552726501061
RL2178,201.81073011673766,-0.5942516076609223,0.23020008009523213,-2.581456997821568,0.009838424755023672,0.013669118717364523
RL44716,318.75599369328256,-0.2548396429496139,0.0987345236562264,-2.581059122105191,0.009849771169453517,0.013682947076536079
RL40347,262.0350249191432,-0.42848277542895796,0.16602622794149247,-2.5808137710624552,0.009856773774318634,0.013690738113692926
RL17548,126.45542581016751,-0.45680519986173895,0.17703715113337512,-2.5802787546981816,0.00987205915011922,0.013710029819568764
RL64095,94.88541557943181,-0.3955793794008638,0.15332344518952706,-2.5800318986563204,0.009879118925583508,0.01371789420944995
RL46758,104.44934506342386,0.4063284621621969,0.15750850866124622,2.5797238867653056,0.009887933989691995,0.01372819338028777
RL36630,50.738224071129636,-0.48740692265246705,0.18896570182285238,-2.5793406843184226,0.00989891073209379,0.013741490442346767
RL8950,270.1088227940882,0.2766805355006798,0.10727750061137768,2.5791105676760657,0.009905507584096626,0.013748704519551782
RL51727,288.18430735932515,0.4699840314134013,0.18230215981165987,2.5780497164649696,0.009935970133231033,0.01378903712667167
RL1073,120.89683452646868,-0.4420600549543653,0.17152490532983336,-2.5772353822572125,0.009959410488088205,0.013819614383640834
RL52483,50.58649135376999,-0.9266733772558502,0.35977598153369245,-2.5756955016994896,0.010003870147592752,0.013879345132715572
RL50939,122.24758670516744,0.4374174133018268,0.16983025814944952,2.575615311830371,0.010006190236363835,0.013880602927121465
RL6849,56.32083565080988,-0.7552586592903298,0.29324733076542003,-2.5755005418770227,0.010009511645237229,0.013883249202857285
RL54430,130.59698210321412,-0.3843530369588417,0.1492584023343767,-2.5750847586978276,0.010021552512765661,0.013897986961638015
RL55931,95.78275154301483,0.41037486346743524,0.15936731924437308,2.575025202238411,0.01002327829312836,0.013898417514617411
RL37908,49.596584394124775,-0.6226273065489705,0.24187642573916013,-2.574154569409805,0.01004853704290393,0.013931474482749766
RL44858,37.360005519816,-0.5235530066320956,0.20349248472591105,-2.5728370624462213,0.010086868284172013,0.013982643499515692
RL4278,81.35520275814532,-0.4286989755558782,0.1667093594286847,-2.571535137709338,0.010124874031455972,0.014033346928567064
RL61167,46.55464993235148,-0.6316595570835762,0.24569720740039594,-2.570886188601256,0.010143865709895969,0.014057685756587413
RL37660,286.1968900214376,-0.34649109372798564,0.13490957452979552,-2.568321002683625,0.010219247452233696,0.014160153800047254
RL37160,22.589824808208505,-0.4966852423084434,0.19348171709787618,-2.567091349810516,0.010255559104452113,0.014208463657691838
RL15731,151.93826863370043,-0.5365016060699468,0.20918711677886684,-2.564697168406821,0.010326588936896974,0.014302835452796656
RL59858,37.75806099383821,-0.5264361232493971,0.20525957984698961,-2.564733512763828,0.010325507419329437,0.014302835452796656
RL34399,70.91279819892188,0.5519284439426573,0.21538862333660083,2.5624772348357756,0.010392840076932391,0.01439256657107264
RL11643,83.45818776736937,-0.410062432587574,0.16006110568354034,-2.561911782605799,0.010409775613831081,0.014413987102061649
RL32177,278.7859571662208,0.3268013472667617,0.12764995013863903,2.5601368971302128,0.01046309381303325,0.014485772063158962
RL40318,121.35866285590248,-0.4916911951097047,0.19223712414342856,-2.557732786008871,0.010535701568438048,0.014584238709058589
RL4445,85.2171326910823,-0.566601180011777,0.2216102169210171,-2.556746651323013,0.010565613705683046,0.014623583733588094
RL53312,152.38131676589236,-0.3546276380637829,0.13874211008240525,-2.5560202151542413,0.01058769677582552,0.014652083193152003
